domeinnaam,URL,Organisatietype,Organisatie,Suborganisatie,Afdeling
1ratio.nl,http://www.1ratio.nl,Rijksoverheid,SZW,,DGW/KO
2017.jaarverslaghogeraad.nl,http://2017.jaarverslaghogeraad.nl,Overheid,JenV,HR,
2018.jaarverslaghogeraad.nl,http://2018.jaarverslaghogeraad.nl,Overheid,JenV,HR,
2019.jaarverslaghogeraad.nl,http://2019.jaarverslaghogeraad.nl,Overheid,JenV,HR,
2020.jaarverslaghogeraad.nl,http://2020.jaarverslaghogeraad.nl,Overheid,JenV,HR,
2todrive.nl,http://2todrive.nl,Overheid,IenW,RDW,
380kv.nl,http://www.380kv.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
380kv-hoogspanningsverbinding.nl,http://www.380kv-hoogspanningsverbinding.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
380kv-hoogspanningsverbindingen.nl,http://www.380kv-hoogspanningsverbindingen.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
380kv-verbinding.nl,http://www.380kv-verbinding.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
380kv-verbindingen.nl,http://www.380kv-verbindingen.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
55plus.datawonen.nl,http://55plus.datawonen.nl,Rijksoverheid,BZK,,
a16rotterdam.nl,http://www.a16rotterdam.nl,Rijksoverheid,IenW,RWS,
a1oost.nl,http://www.a1oost.nl,Rijksoverheid,IenW,RWS,
a27a12ringutrecht.nl,http://www.a27a12ringutrecht.nl,Rijksoverheid,IenW,RWS,
a27houtenhooipolder.nl,http://www.a27houtenhooipolder.nl,Rijksoverheid,IenW,RWS,
a28a1knooppunthoevelaken.nl,http://www.a28a1knooppunthoevelaken.nl,Rijksoverheid,IenW,RWS,
a4burgerveen-n14.nl,http://www.a4burgerveen-n14.nl,Rijksoverheid,IenW,RWS,
a4haaglanden-n14.nl,http://www.a4haaglanden-n14.nl,Rijksoverheid,IenW,RWS,
a58tilburgbreda.nl,http://www.a58tilburgbreda.nl,Rijksoverheid,IenW,BSK,DGMo
a6zonlelystaddronten.nl,http://www.a6zonlelystaddronten.nl,Rijksoverheid,IenW,RWS,
a7a8.nl,http://www.a7a8.nl,Rijksoverheid,IenW,RWS,
aanbiedersmedicijnen.nl,http://www.aanbiedersmedicijnen.nl,Rijksoverheid,VWS,CIBG,
aandachtvoorelkaar.nl,http://www.aandachtvoorelkaar.nl,Rijksoverheid,JenV,PC19,
aandeslagmetdeomgevingswet.nl,http://aandeslagmetdeomgevingswet.nl,Overheid,BZK,,
aaninhetdonker.nl,http://aaninhetdonker.nl,Rijksoverheid,IenW,BSK,DGMo
aanmelden.brba.nl,http://aanmelden.brba.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
aanmelder.nl/evenementenbureauvws,http://www.aanmelder.nl/evenementenbureauvws,Rijksoverheid,VWS,,Kerndepartement/OBP
aanpakadreskwaliteit.pleio.nl,http://aanpakadreskwaliteit.pleio.nl,Rijksoverheid,BZK,RVIG,
aanpaklerarentekort.nl,http://www.aanpaklerarentekort.nl,Rijksoverheid,OCW,,
aanpakringzuid.nl,http://www.aanpakringzuid.nl,Rijksoverheid,IenW,RWS,
aanpakstikstof.nl,http://www.aanpakstikstof.nl,Rijksoverheid,LNV,,DG STIKSTOF
aansluiten.procesinfrastructuur.nl,http://aansluiten.procesinfrastructuur.nl,Rijksoverheid,BZK,Logius,Keteninf/Digipoort
aanvraag-beheer.ciz.nl,http://aanvraag-beheer.ciz.nl,Overheid,VWS,CIZ,
aanvragen.nza.nl,http://aanvragen.nza.nl,Overheid,VWS,NZa,
aardgasvrijewijken.nl,http://www.aardgasvrijewijken.nl,Rijksoverheid,BZK,,
abdleerportaal.nl,http://www.abdleerportaal.nl,Rijksoverheid,BZK,ABD,
academie.hetcak.nl,http://academie.hetcak.nl,Overheid,VWS,CAK,
academieinternationalebetrekkingen.nl,http://www.academieinternationalebetrekkingen.nl,Rijksoverheid,BUZA,AIB,
academievoorinternationalebetrekkingen.nl,http://www.academievoorinternationalebetrekkingen.nl,Rijksoverheid,BUZA,AIB,
academy.cbs.nl,http://academy.cbs.nl,Overheid,EZK,CBS,
academyforinternationalrelations.nl,http://www.academyforinternationalrelations.nl,Rijksoverheid,BUZA,AIB,
academyinternationalrelations.nl,http://www.academyinternationalrelations.nl,Rijksoverheid,BUZA,AIB,
acc.prikkenzonderafspraak.rijksoverheid.nl,http://acc.prikkenzonderafspraak.rijksoverheid.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19
accept.inclusievedienstverlening.gebruikercentraal.nl,http://accept.inclusievedienstverlening.gebruikercentraal.nl,Rijksoverheid,BZK,,
acc-onlineform.culture.gov.nl,http://acc-onlineform.culture.gov.nl,Rijksoverheid,BUZA,,
acm.nl,http://www.acm.nl,Overheid,EZK,ACM,
actal.nl,http://www.actal.nl,Overheid,EZK,ATR,
actieleernetwerk.nl,http://www.actieleernetwerk.nl,Rijksoverheid,VWS,,Kerndepartement/MEVA
actiemonitoringce.nl,http://www.actiemonitoringce.nl,Rijksoverheid,VWS,RIVM,
adr.trainingscatalogus.nl/nl/ClassLogin,http://adr.trainingscatalogus.nl/nl/ClassLogin,Rijksoverheid,FIN,ADR,
adviescollegeicttoetsing.nl,http://www.adviescollegeicttoetsing.nl,Rijksoverheid,BZK,,Bureau ICT-toetsing
adviescollegeveiligheidgroningen.nl,http://www.adviescollegeveiligheidgroningen.nl,Overheid,EZK,RVO,ACVG
adviescommissiedbe.nl,http://www.adviescommissiedbe.nl,Overheid,EZK,RVO,ADBE
adviescommissievolkenrecht.nl,http://www.adviescommissievolkenrecht.nl,Overheid,BUZA,CAVV,
adviescommissievoorvreemdelingenzaken.nl,http://www.adviescommissievoorvreemdelingenzaken.nl,Overheid,JenV,ACVZ,
adviescommissieweigerendeobservandi.nl,http://www.adviescommissieweigerendeobservandi.nl,Rijksoverheid,JenV,,
adviesraadinternationalevraagstukken.nl,http://www.adviesraadinternationalevraagstukken.nl,Rijksoverheid,BUZA,,
adviezen.raadrvs.nl,http://adviezen.raadrvs.nl,Overheid,VWS,,Kerndepartement/RVS
advisorycommitteeinternationallaw.nl,http://www.advisorycommitteeinternationallaw.nl,Overheid,BUZA,CAVV,
advisorycouncilinternationalaffairs.nl,http://www.advisorycouncilinternationalaffairs.nl,Rijksoverheid,BUZA,,
aerius.nl,http://www.aerius.nl,Rijksoverheid,VWS,RIVM,
afm.nl,http://www.afm.nl,Overheid,FIN,AFM,
afsprakenstelsel.etoegang.nl,http://afsprakenstelsel.etoegang.nl,Rijksoverheid,BZK,Logius,eHerkenning/idensys
afvalcirculair.nl,http://www.afvalcirculair.nl,Rijksoverheid,IenW,RWS,
afvalmonitor.databank.nl,http://afvalmonitor.databank.nl,Rijksoverheid,IenW,RWS,
agendaijsselmeergebied2050.nl,http://www.agendaijsselmeergebied2050.nl,Rijksoverheid,IenW,BSK,DGWB
agendalaadinfrastructuur.nl,http://www.agendalaadinfrastructuur.nl,Rijksoverheid,EZK,RVO,
agendastad.nl,http://agendastad.nl,Rijksoverheid,BZK,,
agendastadenregio.nl,http://agendastadenregio.nl,Rijksoverheid,BZK,,
agendavoorhetwaddengebied2050.nl,http://www.agendavoorhetwaddengebied2050.nl,Rijksoverheid,IenW,RWS,
agentschaptelecom.nl,http://www.agentschaptelecom.nl,Rijksoverheid,EZK,AT,
agima.nl/minbuza1,http://www.agima.nl/minbuza1,Rijksoverheid,BUZA,,
agrimatie.nl,http://www.agrimatie.nl,Overheid,LNV,WUR,
agroberichtenbuitenland.nl,http://www.agroberichtenbuitenland.nl,Rijksoverheid,LNV,EIA,
ahn.nl,http://www.ahn.nl,Rijksoverheid,IenW,RWS,
aimonline.nl,http://www.aimonline.nl,Rijksoverheid,IenW,RWS,
aivd.nl,http://www.aivd.nl,Rijksoverheid,BZK,AIVD,
akkoordverbeteringproductsamenstelling.nl,http://www.akkoordverbeteringproductsamenstelling.nl,Rijksoverheid,VWS,RIVM,
algemenebestuursdienst.nl,http://www.algemenebestuursdienst.nl,Rijksoverheid,BZK,ABD,
alleenjijbepaalt.nl,http://www.alleenjijbepaalt.nl,Overheid,JenV,Taskforce overvallen,
allesisgezondheid.nl,http://www.allesisgezondheid.nl,Rijksoverheid,VWS,RIVM,
allesoversport.nl,http://www.allesoversport.nl,Rijksoverheid,VWS,,Kerndepartement/Sport
alliantieopenoverheid.pleio.nl,http://alliantieopenoverheid.pleio.nl,Overheid,ICTU,,
almanak.overheid.nl,http://almanak.overheid.nl,Overheid,BZK,UBR,KOOP
amberalert.nl,http://www.amberalert.nl,Overheid,JenV,Politie,
amice.lma.nl,http://amice.lma.nl,Rijksoverheid,IenW,RWS,
amlc.eu,http://www.amlc.eu,Rijksoverheid,FIN,Belastingdienst,FIOD
amlc.nl,http://www.amlc.nl,Rijksoverheid,FIN,Belastingdienst,FIOD
annualreport.dopingautoriteit.nl,http://annualreport.dopingautoriteit.nl,Overheid,VWS,DA,
antennebureau.nl,http://www.antennebureau.nl,Rijksoverheid,EZK,AT,
apothekerskast.riec.nl,http://apothekerskast.riec.nl,Overheid,JenV,RIEC/LIEC,
app.pianoo-congres.nl,http://app.pianoo-congres.nl,Overheid,EZK,PIANOo,
apps.rijksservices.nl,http://apps.rijksservices.nl,Rijksoverheid,BZK,SSC-ICT,
aqualarm.rws.nl,http://aqualarm.rws.nl,Rijksoverheid,IenW,RWS,
aquo.nl,http://www.aquo.nl,Rijksoverheid,IenW,RWS,
arboportaal.nl,http://www.arboportaal.nl,Rijksoverheid,SZW,,DGW/G&VW
archief.rijksfinancien.nl,http://archief.rijksfinancien.nl,Rijksoverheid,FIN,,DGRB/BZ/BBH
archis.cultureelerfgoed.nl,http://archis.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,
architectenregister.nl,http://www.architectenregister.nl,Overheid,OCW,BA,
arorijk.nl,http://www.arorijk.nl,Rijksoverheid,BZK,P-direkt,
asbestovertredingen.inspectieszw.nl,http://asbestovertredingen.inspectieszw.nl,Rijksoverheid,SZW,Inspectie SZW,
asbestvolgsysteem.nl,http://www.asbestvolgsysteem.nl,Rijksoverheid,IenW,RWS,LAVS
atgb.nl,http://www.atgb.nl,Rijksoverheid,BZK,,
atlasinfectieziekten.nl,http://www.atlasinfectieziekten.nl,Rijksoverheid,VWS,RIVM,
atlasleefomgeving.nl,http://www.atlasleefomgeving.nl,Rijksoverheid,IenW,DGMI,
