nr;overheidstype;organisatie;afkorting/verkorte naam organisatie;organisatienaam;afkorting/verkorte naam organisatieonderdeel of gemeenschappelijke regeling;samenwerking;urlhomepage;url;domeinnaam;checkdate;websitestatus;verklaringsplicht;opdrachtgeveraudit;platform;datasource;bronid;bronupdate;type;actie
;Adviescollege;BZK;;Adviescollege ICT-toetsing;;;https://www.adviescollegeicttoetsing.nl/;;adviescollegeicttoetsing.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;JenV;;Adviescollege levenslanggestraften;;;https://www.adviescollegelevenslanggestraften.nl/;;adviescollegelevenslanggestraften.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;EZK;ATR;Adviescollege toetsing regeldruk;;;https://www.actal.nl/;http://www.actal.nl;actal.nl;1-10-2021;;ja;ja;;rijksreg;http://www.actal.nl;21-8-2021;;
;Adviescollege;EZK;ATR;Adviescollege toetsing regeldruk;;;https://www.atr-regeldruk.nl/;;atr-regeldruk.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10225;13-8-2021;;
;Adviescollege;EZK;ACVG;Adviescollege Veiligheid Groningen;;;https://adviescollegeveiligheidgroningen.nl/;http://www.adviescollegeveiligheidgroningen.nl;adviescollegeveiligheidgroningen.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;JenV;;Adviescollege Verloftoetsing tbs;;;https://www.verlofadviescollege.nl/;;verlofadviescollege.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;OCW;;Adviescommissie Divers en Inclusief Hoger Onderwijs en Onderzoek;;;https://www.dihoo.eu/;;dihoo.eu;;;ja;ja;;rijksreg;http://www.dihoo.eu;30-9-2021;;
;Adviescollege;OCW;;Adviescommissie Divers en Inclusief Hoger Onderwijs en Onderzoek;;;https://www.dihoo.nl/;;dihoo.nl;;;ja;ja;;rijksreg;http://www.dihoo.nl;30-9-2021;;
;Adviescollege;EZK;ADBE;Adviescommissie Duurzaamheid Biomassa voor Energietoepassingen (RVO);;;https://www.adviescommissiedbe.nl/;http://www.adviescommissiedbe.nl;adviescommissiedbe.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;EZK;;Adviescommissie Nationaal Groeifonds;;;https://www.nationaalgroeifonds.nl/over-de-commissie;;nationaalgroeifonds.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;OCW;;Adviescommissie restitutieverzoeken cultuurgoederen en Tweede Wereldoorlog;;;https://www.restitutiecommissie.nl/;;restitutiecommissie.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10139;2-7-2021;;
;Adviescollege;JenV;ACVZ;Adviescommissie voor Vreemdelingenzaken;;;https://www.adviescommissievoorvreemdelingenzaken.nl/;http://www.adviescommissievoorvreemdelingenzaken.nl;adviescommissievoorvreemdelingenzaken.nl;1-10-2021;;ja;ja;;rijksreg;http://www.adviescommissievoorvreemdelingenzaken.nl;21-8-2021;;
;Adviescollege;BZ;AIV;Adviesraad Internationale Vraagstukken;;;https://www.adviesraadinternationalevraagstukken.nl/;;adviesraadinternationalevraagstukken.nl;;;ja;ja;;tv;;;;
;Adviescollege;BZ;AIV;Adviesraad Internationale Vraagstukken;;;https://www.advisorycouncilinternationalaffairs.nl/;;advisorycouncilinternationalaffairs.nl;;;ja;ja;;tv;;;;
;Adviescollege;OCW;AWTI;Adviesraad voor wetenschap, technologie en innovatie;;;https://www.awti.nl;;awti.nl;;;ja;ja;;almanak;;2-7-2021;;
;Adviescollege;OCW;AWTI;Adviesraad voor wetenschap, technologie en innovatie;;;https://english.awti.nl/;http://english.awti.nl;english.awti.nl;1-10-2021;;ja;ja;;rijksreg;http://english.awti.nl;20-8-2021;;
;Adviescollege;JenV;AP;Autoriteit Persoonsgegevens;;;https://www.autoriteitpersoonsgegevens.nl/;https://www.autoriteitpersoonsgegevens.nl;autoriteitpersoonsgegevens.nl;20-10-2021;;ja;ja;;almanak;;2-7-2021;;ookzbo
;Adviescollege;OCW;;Beoordelingscommissie sterk techniekonderwijs;;;https://www.sterktechniekonderwijs.nl/regelingen/beoordelingscommissie;;sterktechniekonderwijs.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10169;13-8-2021;;
;Adviescollege;FIN;;Bestuurlijke Adviesraad Kinderopvangtoeslag;;;https://services.belastingdienst.nl/toeslagen-herstel/bestuurlijke-adviesraad-kinderopvangtoeslag/;;services.belastingdienst.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10200;2-7-2021;;
;Adviescollege;BZK;;College financieel toezicht Bonaire, Sint Eustatius en Saba;;;https://www.cft.cw/over-het-cft/cft-bonaire-sint-eustatius-en-saba;;cft.cw;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;BZK;;College financieel toezicht Curaçao en Sint Maarten;;;https://www.cft.cw/over-het-cft/cft-curacao-en-sint-maarten;https://www.cft.cw/over-het-cft/cft-curacao-en-sint-maarten#:~:text=Het%20College%20financieel%20toezicht%20Cura%C3%A7ao,het%20totaal%20van%20de%20geldleningen.;cft.cw;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;BZK;;College van Rijksadviseurs;;;https://www.collegevanrijksadviseurs.nl/;;collegevanrijksadviseurs.nl;12-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;BZK;;College van Rijksadviseurs;;;https://english.collegevanrijksadviseurs.nl/;;english.collegevanrijksadviseurs.nl;12-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;BZK;;College van Rijksadviseurs;;;https://magazines.collegevanrijksadviseurs.nl/panoramanederland;;magazines.collegevanrijksadviseurs.nl;12-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;JenV;Commissie Wbtv;Commissie beëdigde tolken en vertalers (Raad voor Rechtsbijstand);;;https://www.bureauwbtv.nl/over-bureau-wbtv/commissies;;bureauwbtv.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10109;2-7-2021;;
;Adviescollege;OCW;CDOH;Commissie Doelmatigheid Hoger Onderwijs;;;https://www.cdho.nl/;;cdho.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10143;2-7-2021;;
;Adviescollege;IenW;COGEM;Commissie genetische modificatie;;;https://cogem.net/;;cogem.net;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10195;2-7-2021;;
;Adviescollege;OCW;;Commissie macrodoelmatigheid mbo;;;https://www.cmmbo.nl/;;cmmbo.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10172;2-7-2021;;
;Adviescollege;OCW;;Commissie sectorplan Bèta en Techniek;;;https://www.sectorplan-betatechniek.nl/;;sectorplan-betatechniek.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10170;2-7-2021;;
;Adviescollege;OCW;;Commissie sectorplan Social Sciences and Humanities;;;https://www.sectorplan-ssh.nl/;;sectorplan-ssh.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10171;2-7-2021;;
;Adviescollege;BZ;CAVV;Commissie van advies inzake volkenrechtelijke vraagstukken;;;https://www.adviescommissievolkenrecht.nl/;;adviescommissievolkenrecht.nl;;;ja;ja;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10211;2-7-2021;;
;Adviescollege;BZ;CAVV;Commissie van advies inzake volkenrechtelijke vraagstukken;;;https://www.advisorycommitteeinternationallaw.nl/;;advisorycommitteeinternationallaw.nl;1-10-2021;;ja;ja;;rijksreg;http://www.advisorycommitteeinternationallaw.nl;21-8-2021;;
;Adviescollege;AZ;CTIVD;Commissie van Toezicht op de Inlichtingen- en Veiligheidsdiensten;;;https://www.ctivd.nl/;;ctivd.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;AZ;CTIVD;Commissie van Toezicht op de Inlichtingen- en Veiligheidsdiensten;;;https://english.ctivd.nl/;;english.ctivd.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;IenW;Commissie m.e.r.;Commissie voor de milieueffectrapportage;;;https://www.commissiemer.nl/;;commissiemer.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;OCW;;Curriculumcommissie;;;https://www.curriculumcommissie.nl/;;curriculumcommissie.nl;;;ja;;;almanak;https://identifier.overheid.nl/tooi/id/oorg/oorg10167;2-7-2021;;
;Adviescollege;JenV;CSR;Cyber Security Raad;;;https://www.cybersecuritycouncil.nl;;cybersecuritycouncil.nl;10-10-2021;;ja;ja;;200ok;;;;
;Adviescollege;JenV;CSR;Cyber Security Raad;;;https://www.cybersecurityraad.nl;;cybersecurityraad.nl;10-10-2021;;ja;ja;;200ok;;;;
